"USER_ID","Predictions"
2,NA
3,NA
6,NA
7,"Democrat"
14,NA
28,"Republican"
29,NA
37,NA
44,NA
56,"Democrat"
62,NA
68,"Republican"
72,NA
74,NA
80,"Democrat"
81,"Democrat"
87,NA
92,"Democrat"
96,"Democrat"
100,"Republican"
104,"Democrat"
105,NA
108,NA
124,NA
125,NA
127,"Democrat"
128,NA
129,NA
130,NA
139,"Republican"
149,"Republican"
151,"Republican"
154,"Democrat"
158,NA
159,"Democrat"
168,"Democrat"
177,NA
185,"Republican"
192,"Democrat"
195,NA
198,"Democrat"
208,"Democrat"
209,"Democrat"
213,"Republican"
225,"Democrat"
229,"Republican"
231,"Democrat"
236,"Democrat"
238,NA
239,"Republican"
240,"Democrat"
244,"Democrat"
259,NA
260,"Democrat"
264,"Democrat"
267,NA
268,NA
271,NA
272,"Democrat"
274,"Democrat"
285,"Republican"
286,NA
296,"Republican"
308,NA
310,NA
318,"Republican"
333,"Republican"
340,"Democrat"
342,NA
343,"Republican"
344,"Democrat"
345,"Republican"
346,"Democrat"
352,"Democrat"
354,NA
357,NA
366,NA
369,"Republican"
380,NA
389,"Republican"
391,"Democrat"
394,NA
396,NA
404,"Republican"
407,NA
422,NA
426,NA
428,"Democrat"
429,"Democrat"
438,"Republican"
452,NA
462,NA
469,"Republican"
480,NA
488,"Republican"
489,"Democrat"
492,NA
498,"Democrat"
505,"Democrat"
508,NA
510,"Democrat"
511,NA
512,"Republican"
518,NA
519,"Democrat"
522,"Republican"
523,NA
528,"Republican"
530,NA
543,"Democrat"
549,NA
553,NA
556,"Democrat"
558,"Democrat"
562,NA
563,"Democrat"
565,"Republican"
567,NA
571,"Republican"
572,"Democrat"
581,NA
584,NA
600,"Republican"
611,NA
617,NA
635,NA
642,NA
646,"Democrat"
648,NA
651,NA
659,"Republican"
661,NA
683,"Republican"
685,NA
694,"Democrat"
699,NA
701,NA
702,"Republican"
704,NA
713,"Republican"
720,NA
725,"Democrat"
726,NA
727,"Republican"
732,"Republican"
733,NA
734,NA
741,NA
747,NA
750,"Democrat"
752,"Republican"
753,NA
760,"Republican"
774,NA
782,"Republican"
803,"Republican"
807,NA
813,NA
838,"Democrat"
839,NA
844,NA
846,NA
847,NA
863,"Democrat"
864,NA
866,NA
870,"Republican"
873,NA
878,NA
883,"Democrat"
885,NA
886,NA
897,NA
902,"Republican"
907,"Democrat"
912,NA
914,"Republican"
918,NA
924,NA
932,"Republican"
947,NA
948,NA
951,"Republican"
958,"Democrat"
963,"Democrat"
965,NA
969,NA
973,"Democrat"
975,"Democrat"
983,NA
1002,NA
1015,"Democrat"
1019,NA
1020,"Republican"
1029,"Democrat"
1030,"Republican"
1032,"Republican"
1037,"Democrat"
1048,"Democrat"
1050,"Republican"
1053,NA
1056,NA
1057,NA
1062,"Democrat"
1067,"Republican"
1071,NA
1073,"Republican"
1076,NA
1079,NA
1081,NA
1083,NA
1084,NA
1085,"Republican"
1087,"Democrat"
1092,NA
1114,NA
1117,"Republican"
1124,"Republican"
1129,"Democrat"
1133,"Republican"
1148,NA
1151,NA
1154,NA
1157,"Republican"
1158,"Republican"
1162,NA
1166,"Republican"
1167,NA
1171,"Democrat"
1177,"Republican"
1179,NA
1191,NA
1199,NA
1200,"Democrat"
1206,NA
1208,NA
1209,"Democrat"
1215,"Republican"
1218,"Democrat"
1219,"Republican"
1221,"Republican"
1222,NA
1234,NA
1246,NA
1256,"Republican"
1259,NA
1262,"Republican"
1266,NA
1284,"Republican"
1288,NA
1298,"Republican"
1301,NA
1312,NA
1315,NA
1316,"Democrat"
1322,"Democrat"
1328,NA
1334,"Republican"
1342,NA
1344,NA
1362,NA
1364,NA
1367,NA
1371,"Republican"
1374,NA
1381,NA
1383,NA
1402,"Democrat"
1409,NA
1416,NA
1421,"Republican"
1427,"Republican"
1429,"Democrat"
1431,NA
1440,"Democrat"
1442,"Republican"
1446,NA
1451,"Republican"
1452,NA
1464,NA
1472,"Republican"
1473,"Democrat"
1474,NA
1484,NA
1490,NA
1497,NA
1499,NA
1503,NA
1511,"Democrat"
1516,NA
1521,NA
1522,"Democrat"
1523,"Republican"
1529,"Republican"
1536,"Democrat"
1540,NA
1545,NA
1548,NA
1552,NA
1557,NA
1558,NA
1559,"Republican"
1565,NA
1576,NA
1581,"Republican"
1592,NA
1594,"Republican"
1600,"Republican"
1604,NA
1613,NA
1615,"Republican"
1617,NA
1619,NA
1620,NA
1624,NA
1629,NA
1630,"Republican"
1637,"Republican"
1643,NA
1645,NA
1649,NA
1654,"Republican"
1668,NA
1680,NA
1681,NA
1683,"Republican"
1684,NA
1688,"Republican"
1689,NA
1691,"Democrat"
1692,NA
1693,NA
1696,NA
1702,NA
1706,NA
1708,NA
1719,"Republican"
1723,NA
1731,NA
1734,NA
1736,NA
1748,NA
1750,NA
1751,"Democrat"
1757,NA
1763,NA
1766,"Republican"
1767,NA
1776,NA
1782,NA
1790,NA
1812,"Democrat"
1816,NA
1819,"Republican"
1824,"Republican"
1831,"Republican"
1841,NA
1857,NA
1858,NA
1860,NA
1873,NA
1876,NA
1878,NA
1882,"Republican"
1884,NA
1890,"Democrat"
1905,NA
1906,"Republican"
1913,NA
1918,"Republican"
1921,"Democrat"
1925,"Republican"
1936,NA
1940,"Republican"
1941,NA
1947,NA
1948,"Democrat"
1959,NA
1963,NA
1966,"Republican"
1968,"Democrat"
1975,NA
1978,NA
1982,NA
1995,"Republican"
1999,"Republican"
2002,"Republican"
2014,NA
2028,"Democrat"
2031,"Republican"
2034,NA
2036,NA
2037,NA
2040,NA
2041,NA
2042,NA
2043,"Republican"
2056,NA
2058,"Democrat"
2064,NA
2069,NA
2080,"Republican"
2083,NA
2087,"Republican"
2093,NA
2100,"Republican"
2109,"Republican"
2113,"Republican"
2116,"Democrat"
2120,NA
2124,"Republican"
2127,NA
2133,NA
2135,NA
2137,NA
2141,NA
2149,"Republican"
2160,NA
2162,NA
2163,NA
2165,"Democrat"
2166,"Democrat"
2178,NA
2180,NA
2185,NA
2187,NA
2197,"Democrat"
2206,NA
2216,NA
2220,"Democrat"
2224,"Democrat"
2234,NA
2235,NA
2241,NA
2248,NA
2259,NA
2262,NA
2274,"Democrat"
2275,NA
2298,NA
2304,"Republican"
2307,NA
2309,NA
2312,NA
2324,"Republican"
2335,NA
2336,"Democrat"
2338,NA
2348,NA
2350,"Democrat"
2353,"Democrat"
2356,NA
2362,"Republican"
2374,NA
2377,"Republican"
2378,NA
2379,NA
2386,NA
2390,"Republican"
2398,NA
2402,NA
2405,"Republican"
2406,NA
2409,NA
2410,"Republican"
2413,NA
2416,NA
2419,NA
2427,"Republican"
2430,NA
2434,NA
2435,NA
2452,NA
2454,NA
2456,NA
2458,NA
2462,NA
2470,NA
2472,NA
2473,NA
2487,NA
2488,"Republican"
2493,NA
2496,NA
2499,"Democrat"
2500,NA
2501,NA
2502,NA
2504,NA
2505,NA
2510,"Republican"
2514,NA
2519,NA
2531,NA
2535,"Republican"
2537,NA
2539,NA
2540,"Democrat"
2547,NA
2548,NA
2551,NA
2552,"Republican"
2555,"Republican"
2564,NA
2568,NA
2569,NA
2572,NA
2584,NA
2585,"Republican"
2596,NA
2599,NA
2600,NA
2602,NA
2607,NA
2616,NA
2617,"Republican"
2628,NA
2630,NA
2633,NA
2636,"Democrat"
2642,NA
2648,NA
2651,"Republican"
2653,NA
2656,NA
2669,NA
2679,NA
2681,"Democrat"
2682,"Republican"
2683,NA
2684,NA
2685,"Democrat"
2695,NA
2701,NA
2702,"Republican"
2709,NA
2713,"Republican"
2715,NA
2728,NA
2733,NA
2738,NA
2746,NA
2748,"Republican"
2752,NA
2753,NA
2758,NA
2772,NA
2800,"Democrat"
2801,NA
2802,NA
2805,NA
2814,NA
2816,NA
2827,NA
2831,NA
2832,NA
2845,NA
2849,NA
2856,NA
2861,NA
2862,"Republican"
2869,NA
2880,NA
2881,NA
2884,NA
2887,"Republican"
2895,"Republican"
2897,NA
2898,NA
2903,NA
2904,NA
2906,NA
2911,NA
2913,"Democrat"
2916,"Republican"
2922,NA
2930,NA
2933,NA
2938,NA
2944,NA
2945,NA
2948,NA
2950,"Republican"
2958,NA
2965,"Republican"
2966,"Republican"
2970,NA
2973,NA
2978,NA
2981,"Republican"
2982,NA
2983,"Democrat"
2985,"Republican"
2989,"Republican"
2990,NA
3003,NA
3020,"Republican"
3022,NA
3035,NA
3039,"Republican"
3042,"Democrat"
3045,NA
3049,"Republican"
3058,"Democrat"
3061,"Republican"
3064,NA
3073,NA
3074,NA
3077,NA
3091,NA
3096,NA
3100,NA
3101,NA
3107,NA
3124,"Democrat"
3129,NA
3138,NA
3139,NA
3161,NA
3164,"Democrat"
3166,NA
3170,NA
3172,"Democrat"
3174,NA
3183,"Republican"
3192,"Democrat"
3197,NA
3201,NA
3202,"Republican"
3214,NA
3223,NA
3227,NA
3230,NA
3237,NA
3245,"Democrat"
3248,NA
3249,NA
3253,NA
3254,"Republican"
3267,NA
3271,NA
3277,NA
3292,"Republican"
3293,"Democrat"
3298,"Republican"
3302,NA
3304,NA
3310,NA
3311,"Republican"
3313,NA
3317,NA
3322,NA
3326,NA
3334,"Republican"
3335,NA
3343,"Democrat"
3347,NA
3353,"Democrat"
3357,NA
3359,NA
3368,NA
3369,"Republican"
3372,"Republican"
3376,NA
3382,"Republican"
3392,NA
3394,"Republican"
3395,NA
3412,NA
3416,NA
3424,NA
3428,NA
3446,NA
3451,NA
3454,"Democrat"
3455,NA
3465,NA
3466,NA
3480,NA
3484,"Republican"
3486,NA
3490,NA
3492,"Republican"
3496,NA
3497,NA
3505,NA
3511,NA
3513,NA
3515,NA
3516,"Democrat"
3517,NA
3519,NA
3520,NA
3521,"Republican"
3535,"Republican"
3537,"Democrat"
3543,NA
3550,NA
3552,NA
3554,"Democrat"
3560,"Republican"
3563,"Republican"
3572,"Republican"
3574,NA
3580,NA
3583,NA
3586,NA
3588,"Republican"
3590,NA
3598,NA
3607,NA
3613,NA
3623,NA
3631,"Democrat"
3639,NA
3654,"Republican"
3656,NA
3663,"Republican"
3673,NA
3681,NA
3683,"Democrat"
3687,NA
3688,NA
3690,NA
3691,NA
3693,NA
3703,NA
3710,"Democrat"
3713,NA
3718,NA
3719,NA
3720,NA
3727,"Republican"
3728,NA
3734,NA
3742,NA
3749,NA
3753,NA
3760,NA
3762,NA
3768,NA
3770,"Democrat"
3781,NA
3783,NA
3789,NA
3790,NA
3791,NA
3800,"Republican"
3801,"Democrat"
3808,NA
3810,NA
3817,NA
3819,"Democrat"
3827,NA
3829,"Republican"
3833,NA
3836,NA
3842,NA
3843,NA
3845,NA
3848,NA
3853,NA
3856,NA
3857,NA
3870,NA
3877,NA
3886,"Republican"
3891,"Republican"
3896,NA
3899,"Republican"
3900,NA
3910,"Democrat"
3911,NA
3913,"Republican"
3914,NA
3915,NA
3923,NA
3927,NA
3930,NA
3932,NA
3933,"Democrat"
3937,NA
3938,NA
3960,NA
3962,NA
3964,NA
3968,NA
3971,NA
3975,"Republican"
4013,NA
4015,NA
4034,NA
4040,"Democrat"
4057,NA
4058,NA
4060,NA
4062,"Democrat"
4064,"Democrat"
4065,"Republican"
4069,"Republican"
4077,NA
4079,NA
4085,NA
4086,"Republican"
4094,NA
4095,NA
4096,"Democrat"
4100,NA
4107,NA
4116,"Republican"
4118,NA
4120,NA
4123,"Democrat"
4125,NA
4130,NA
4136,NA
4137,NA
4145,NA
4164,"Democrat"
4173,"Republican"
4175,"Republican"
4184,NA
4189,NA
4202,NA
4204,"Republican"
4205,NA
4207,NA
4209,NA
4216,NA
4219,NA
4226,NA
4230,"Republican"
4231,"Republican"
4235,NA
4243,NA
4246,"Republican"
4249,NA
4255,NA
4261,"Republican"
4262,NA
4274,NA
4275,NA
4277,NA
4279,NA
4288,NA
4293,"Republican"
4302,NA
4307,NA
4309,NA
4316,NA
4317,NA
4326,NA
4329,NA
4331,"Democrat"
4332,NA
4338,NA
4346,"Democrat"
4351,"Republican"
4359,"Republican"
4362,"Republican"
4366,"Democrat"
4368,"Democrat"
4375,NA
4377,NA
4387,NA
4388,NA
4395,NA
4398,"Republican"
4401,"Republican"
4405,"Democrat"
4410,"Republican"
4413,"Republican"
4417,NA
4425,NA
4428,NA
4435,NA
4436,"Republican"
4441,"Republican"
4444,"Democrat"
4454,"Republican"
4463,"Democrat"
4471,"Democrat"
4475,NA
4481,"Republican"
4486,NA
4490,NA
4493,NA
4494,NA
4500,NA
4503,NA
4518,NA
4522,"Republican"
4527,"Democrat"
4532,"Democrat"
4535,"Republican"
4541,"Republican"
4549,NA
4551,NA
4557,"Democrat"
4559,"Democrat"
4562,NA
4564,"Democrat"
4566,NA
4567,NA
4568,NA
4577,NA
4580,NA
4586,NA
4587,NA
4596,"Democrat"
4597,NA
4611,NA
4625,"Republican"
4629,NA
4634,NA
4640,NA
4644,NA
4646,"Democrat"
4651,"Republican"
4655,NA
4657,"Republican"
4663,NA
4666,NA
4669,NA
4672,"Democrat"
4676,"Republican"
4681,NA
4683,"Republican"
4720,NA
4724,NA
4725,NA
4729,"Republican"
4738,NA
4739,"Republican"
4740,NA
4743,"Republican"
4745,NA
4746,"Republican"
4751,NA
4763,"Republican"
4766,NA
4770,NA
4771,NA
4778,NA
4786,NA
4788,"Republican"
4793,NA
4810,NA
4811,NA
4814,"Democrat"
4820,NA
4821,NA
4823,NA
4829,NA
4830,NA
4834,"Democrat"
4854,NA
4860,NA
4868,NA
4873,NA
4875,NA
4877,NA
4879,"Democrat"
4882,"Democrat"
4888,NA
4891,NA
4893,NA
4899,NA
4902,NA
4905,NA
4906,NA
4917,NA
4920,"Democrat"
4923,NA
4935,"Democrat"
4938,NA
4939,NA
4950,NA
4960,"Democrat"
4961,NA
4963,NA
4967,NA
4971,NA
4980,NA
4991,NA
4993,NA
4995,NA
5000,"Republican"
5002,"Republican"
5003,NA
5008,NA
5011,NA
5021,NA
5023,NA
5030,NA
5031,NA
5038,NA
5047,NA
5052,NA
5058,NA
5059,NA
5060,NA
5062,"Democrat"
5067,NA
5072,NA
5079,NA
5080,NA
5081,NA
5084,NA
5087,NA
5093,NA
5097,"Republican"
5098,NA
5104,NA
5109,"Democrat"
5122,NA
5130,NA
5131,NA
5134,NA
5143,NA
5155,NA
5156,NA
5157,NA
5169,NA
5175,NA
5176,NA
5177,NA
5179,NA
5181,NA
5183,NA
5191,NA
5200,NA
5204,NA
5209,NA
5215,"Democrat"
5217,"Democrat"
5225,NA
5227,NA
5246,NA
5254,NA
5255,NA
5256,NA
5262,NA
5263,NA
5266,NA
5269,NA
5270,NA
5276,NA
5301,NA
5306,NA
5312,"Republican"
5313,NA
5322,NA
5331,NA
5332,NA
5333,NA
5335,NA
5339,NA
5342,NA
5343,NA
5347,NA
5349,NA
5352,"Republican"
5353,NA
5355,"Democrat"
5360,NA
5368,NA
5369,NA
5372,NA
5375,"Republican"
5380,"Republican"
5386,NA
5389,NA
5391,"Democrat"
5392,NA
5405,NA
5412,NA
5422,NA
5424,"Republican"
5427,NA
5430,NA
5434,NA
5438,NA
5439,NA
5442,"Republican"
5447,NA
5454,"Democrat"
5473,NA
5475,NA
5479,NA
5481,NA
5488,NA
5514,NA
5515,NA
5518,NA
5532,NA
5533,"Democrat"
5534,"Democrat"
5542,NA
5547,NA
5550,NA
5558,NA
5559,NA
5560,"Republican"
5571,NA
5573,NA
5574,NA
5576,NA
5577,NA
5581,NA
5585,"Republican"
5589,NA
5592,"Republican"
5599,NA
5607,NA
5608,NA
5617,NA
5622,NA
5625,NA
5626,NA
5636,NA
5643,NA
5645,"Democrat"
5648,NA
5649,"Republican"
5661,"Republican"
5662,NA
5674,"Republican"
5679,NA
5687,NA
5689,NA
5690,NA
5699,NA
5707,"Republican"
5712,NA
5713,NA
5717,NA
5725,NA
5731,NA
5732,NA
5743,NA
5745,NA
5747,NA
5748,NA
5750,NA
5751,NA
5768,NA
5773,NA
5779,NA
5781,"Democrat"
5790,NA
5791,"Republican"
5798,NA
5803,NA
5806,"Republican"
5807,NA
5808,"Democrat"
5810,NA
5824,NA
5834,NA
5843,"Democrat"
5844,NA
5847,NA
5852,NA
5861,"Republican"
5866,NA
5868,NA
5877,NA
5880,NA
5883,NA
5884,NA
5903,NA
5911,"Republican"
5912,"Democrat"
5917,NA
5924,NA
5933,NA
5934,NA
5941,NA
5948,NA
5955,NA
5958,NA
5960,NA
5963,"Republican"
5965,NA
5970,NA
5972,NA
5974,NA
5976,NA
5980,"Democrat"
5983,"Republican"
5986,NA
5990,NA
6000,NA
6006,NA
6016,NA
6018,NA
6020,NA
6023,NA
6024,NA
6026,NA
6028,NA
6033,NA
6035,NA
6041,NA
6054,NA
6057,NA
6059,NA
6060,NA
6064,NA
6067,NA
6071,NA
6074,NA
6075,NA
6077,NA
6087,NA
6094,NA
6104,NA
6106,NA
6113,NA
6115,NA
6116,NA
6120,NA
6127,NA
6143,NA
6150,NA
6155,NA
6163,NA
6167,NA
6169,NA
6173,NA
6174,NA
6185,NA
6188,NA
6191,NA
6192,NA
6195,NA
6201,NA
6208,NA
6213,NA
6215,NA
6222,NA
6228,NA
6231,NA
6233,NA
6235,NA
6244,NA
6251,NA
6259,NA
6262,NA
6263,NA
6268,NA
6272,NA
6278,NA
6285,NA
6287,NA
6291,NA
6300,NA
6302,NA
6305,NA
6316,NA
6337,NA
6344,NA
6346,NA
6348,NA
6356,NA
6360,NA
6369,NA
6375,NA
6383,NA
6389,NA
6393,NA
6396,NA
6404,NA
6408,NA
6410,NA
6416,NA
6425,NA
6428,NA
6431,NA
6436,NA
6439,NA
6442,NA
6447,NA
6449,NA
6457,NA
6468,NA
6470,NA
6474,NA
6480,NA
6482,NA
6487,NA
6489,NA
6490,NA
6521,NA
6529,NA
6534,NA
6540,NA
6550,NA
6553,NA
6554,NA
6559,NA
6565,NA
6576,NA
6577,NA
6578,NA
6582,NA
6583,NA
6585,NA
6586,NA
6589,NA
6595,NA
6602,NA
6606,NA
6609,NA
6618,NA
6623,NA
6631,NA
6633,NA
6634,NA
6639,NA
6640,NA
6645,NA
6648,NA
6652,NA
6655,NA
6662,NA
6666,NA
6667,NA
6671,NA
6677,NA
6680,NA
6682,NA
6686,NA
6687,NA
6692,NA
6695,NA
6700,NA
6701,NA
6705,NA
6709,NA
6723,NA
6724,NA
6728,NA
6732,NA
6757,NA
6760,NA
6778,NA
6781,NA
6785,NA
6790,NA
6791,NA
6795,NA
6796,NA
6799,NA
6807,NA
6811,NA
6813,NA
6814,NA
6816,NA
6817,NA
6825,NA
6830,NA
6837,NA
6843,NA
6844,NA
6845,NA
6848,NA
6852,NA
6859,NA
6860,NA
6864,NA
6865,NA
6867,NA
6870,NA
6871,NA
6876,NA
6879,NA
6887,NA
6892,NA
6895,NA
6898,NA
6904,NA
6914,NA
6919,NA
6921,NA
6922,NA
6928,NA
6930,NA
6941,NA
6946,NA
6947,NA
